,Location,Latitude,Longitude,Country,ESTNUM
716,Jomo Kenyatta International Airport,-1.32271,36.926069,Kenya,100
717,Oshakati,-17.789453,15.705779,Namibia,1
718,Hong Kong International Airport,22.308047,113.918481,China - Hong Kong,1
719,"Kilangran Village, Jambi",-1.610123,103.61312,Indonesia,779
720,Coimbatore,11.016845,76.955832,India,2
721,"Thap Sakae District, Prachuap",11.525923,99.567348,Thailand,140
722,Kathmandu,27.717245,85.323959,Nepal,1
723,Ratchaburi,13.528289,99.813421,Thailand,217
724,"Ruijin, Jiangxi",25.885555,116.027134,China,1
725,"Ruijin, Jiangxi",25.885555,116.027134,China,1
726,Mutare,-18.975771,32.650351,Zimbabwe,1
727,"Louis Trichardt, Limpopo",-23.046241,29.904656,South Africa,2
728,Suvarnabhumi Airport,13.689999,100.750112,Thailand,1700
729,Shanghai,31.23039,121.473702,China,3100
730,Katima Mulilo,-17.506158,24.280656,Namibia,1
731,Francistown,-21.1661,27.51436,Botswana,1
732,"Maoming, Guangdong",21.662991,110.925439,China,11
733,"Maoming, Guangdong",21.662991,110.925439,China,20
734,"Tarikere, Chikkamagaluru",13.708667,75.815859,India,6
735,Huanggang,22.520087,114.075065,China,53
736,Phnom Penh,11.556374,104.92821,Cambodia,1
737,Yaoundé-Nsimalen International Airport,3.714916,11.547693,Cameroon,670
738,Kochi,9.931233,76.267304,India,
739,Suvarnabhumi Airport,13.689999,100.750112,Thailand,1200
740,"Titi Kerbau, Changlun",6.435682,100.423279,Malaysia,109
